SEPARATE
# 节目介绍与社交话题引入
0.0-6.8: 今天咱们是一个聊天的节目
1215.68-1217.36: 有多想要
1217.36-1219.52: 我觉得这个是关键
1219.52-1221.2: 如果很想很想要
1221.2-1223.74: 你就是会想尽各种各样办法
1223.74-1224.02: 是的
1224.02-1225.64: 很多时候人们不够想要
1225.64-1226.44: 不敏感
1226.44-1227.34: 不主动不真诚
1227.34-1229.5: 是因为还没有真正的经历
1229.5-1231.46: 我们所说的努力和挣扎
1231.46-1233.58: 并没有真正的在爬山
1233.58-1236.32: 很多人总说
1236.32-1237.86: 自己想成为谁谁谁
1237.86-1239.0: 但是你需要问自己
1239.0-1241.8: 你是只想要人家成功之后的样子
1241.8-1244.08: 还是说准备好迎接他经历的一切
1244.08-1246.18: 包括背后的努力和挣扎
1246.18-1247.34: 成功的结果是什么呢
1247.36-1248.26: 结果并不是品质
1248.26-1250.06: 它背后的努力和挣扎才是
1250.06-1252.82: 当你只想要最后的那个结果的时候
1252.82-1256.28: 你很容易会陷入向上社交的陷阱
1256.28-1257.54: 当你准备好
1257.54-1259.82: 接受成功路上的努力和挣扎的时候
1259.82-1262.04: 你才真正具备成功的品质
1262.04-1264.52: 成为贵人眼中年轻的自己
1264.52-1266.66: OK
1266.66-1268.0: 如果你看到视频最后
1268.0-1269.9: 我想邀请你加入我的会员网站
1269.9-1272.0: 最初做这个会员网站的时候
1272.0-1273.16: 我只是把它当成
1273.16-1274.8: 我提供一些额外的内容
1274.8-1276.66: 来获得一些额外收益的方式
1276.66-1277.34: 但是我还没有提供
1277.36-1278.28: 但是几个月过去之后
1278.28-1279.28: 我发现这个网站
1279.28-1281.2: 已经变成了一个鲜活的社群
1281.2-1283.04: 大家开始有积极的互动分享
1283.04-1285.18: 我们有丰富的线上直播分享活动
1285.18-1286.5: 读书会 早起俱乐部
1286.5-1287.66: 更重要的是
1287.66-1290.36: 大家在这里能够获得表达的机会
1290.36-1291.3: 认识了新的朋友
1291.3-1293.88: 甚至很多人已经开始在线下互动
1293.88-1295.0: 而我们的下一步
1295.0-1296.3: 就是推进线下的交流
1296.3-1297.52: 所以这个会员网站
1297.52-1299.08: 已经不是完全关于我了
1299.08-1299.96: 而是关于大家
1299.96-1301.18: 某种程度上
1301.18-1303.96: 我们每个人都成了对方的贵人
1303.96-1304.64: Mentor
1304.64-1306.6: 比如视频开始提到的会员采访里
1306.6-1306.94: 叶欢
1306.94-1310.04: 无私的分享了自己过去的成功和失败的经历
SEPARATE
# 会员网站介绍与社群互动的价值
1306.6-1306.94: 叶欢
1306.94-1310.04: 无私的分享了自己过去的成功和失败的经历
1310.04-1311.98: 他的故事给了我很多重要的启发
1311.98-1314.18: 我相信其他的会员也能从中获益
1314.18-1317.12: 而我们未来一定会有更多的这样的分享
1317.12-1319.46: 所以感谢各位会员的支持
1319.46-1321.16: 我也欢迎屏幕前的你
1321.16-1322.74: 能够加入我们一起成长
